ISBN;Autor;Name;Year;Condition;Administrator;Place
80-7176-702-6;Josef Čapek;Stín kapradiny;1998;1;1;1
978-80-7483-006-8;Karel Čapek;Bílá nemoc;2013;1;1;1
978-80-7390-063-2;Karel Čapek;Bílá nemoc;2013;1;1;1
978-80-87128-53-4;Karel Čapek;Matka;2010;1;1;1
978-80-7335-177-9;Karel Čapek;Povídky z jedé a z druhé kapsy;2009;1;1;1
80-85637-21-9;Karel Čapek;Zahradníkův rok;1996;1;1;1
80-202-0540-3;Karel Čapek;Výlet do španěl;1980;1;1;1
22-074-69;Karel Čapek;Hovory s T.G.Masarykem ;1969;2;1;1
80-206-0519-3;Petr Čerbák;Ještě žiju, doktore;1995;1;1;1
80-85770-40-7;Anto Pavlovič Čechov;Drama na lovu;1997;1;1;1
;Karel Čapek;Zahradníkův rok;1947;1;1;1
978-80-7483-005-1;Karel Čapek;R.U.R;2013;1;1;1
22-084-81;Karel Čapek;Válka s mloky;1981;1;1;1
